cm-1,laser-disk-center_CB-5e-3_0-s,laser-disk-center_CB-5e-3_1-s,laser-disk-center_CB-5e-3_3-s,laser-disk-center_CB-5e-3_4-s,laser-disk-center_CB-5e-3_5-s
1309.45,0.001104179472392212,0.0023342089975109293,0.002441646444655613,-0.000397761618996184,0.0028162239117907532
1310.415,0.000664909699718508,0.0019215010211770475,0.002055938502302035,-0.0007471166700573669,0.002409203585820827
1311.379,0.00024747254904028247,0.0015125845018840417,0.0016796076679229147,-0.0010698328236306567,0.00200652434322455
1312.343,-0.00014767863875348502,0.001100509472069544,0.0013071705155473755,-0.0013849870741005563,0.0016104868456604457
1313.307,-0.0005197185044577106,0.0006921990034259801,0.0009331073256301366,-0.0017034743646712465,0.0012298939898306822
1314.272,-0.0008703006051149749,0.0003051309737361984,0.0005588552329302089,-0.002026523615987684,0.0008721685150886413
1315.236,-0.0012072723961429757,-5.1615731807747525e-05,0.00018930883076185862,-0.0023510392858459906,0.0005356551078312506
1316.2,-0.0015407955432621588,-0.00037911878736208093,-0.00016711437858517477,-0.0026705133386342983,0.00021481315574935117
1317.165,-0.0018706746559763714,-0.0006820033188244182,-0.0004958062371639544,-0.002974411109717644,-9.462510175699555e-05
1318.129,-0.002178121004886906,-0.0009593888703619675,-0.0007785238053945368,-0.003249464732989192,-0.0003853127816836352
1319.093,-0.002432661801731078,-0.001203558214400637,-0.001001388833091242,-0.003482386520105249,-0.0006427513924791256
1320.057,-0.002609682484266105,-0.0014064533699440368,-0.0011636126330893334,-0.0036662509596004002,-0.0008529582715454494
1321.021,-0.0027070771739844883,-0.0015675635028667286,-0.0012798854791327215,-0.0038022748940938276,-0.0010131877347577926
1321.986,-0.0027467619297901133,-0.001690635256591192,-0.0013730127273751615,-0.0038994550686836183,-0.001129095548110092
1322.95,-0.0027602274472880257,-0.001778673094531728,-0.00145991264854078,-0.003968745143284481,-0.001210881614500847
1323.914,-0.002774653912953447,-0.001835338327769745,-0.0015460714547204518,-0.0040198080493254185,-0.0012685038047338952
1324.879,-0.002805470109299737,-0.0018695137062019929,-0.0016265206821737216,-0.004061786222000186,-0.0013103074769674281
1325.843,-0.002856819154261624,-0.0018977929480204824,-0.0016928267660500818,-0.004104791389889567,-0.0013467176862528077
1326.807,-0.002923527468440151,-0.001934506154026398,-0.0017377721816667204,-0.004153445408547681,-0.0013854851773684935
1327.771,-0.0029923344274058457,-0.001982348608878022,-0.0017607142697918354,-0.004204734573631654,-0.0014286477658422116
1328.735,-0.003044259753845818,-0.002029488758143321,-0.0017650115365607673,-0.004245677316723261,-0.0014671478123865934
1329.7,-0.0030606431046645084,-0.0020577712046015674,-0.001753961851227081,-0.00426116421251551,-0.0014867445676327766
1330.664,-0.003031881068949874,-0.0020554999172985896,-0.0017308699900935281,-0.004244121326429178,-0.001476349353219693
1331.628,-0.002962646982457958,-0.0020238978622722035,-0.0016960546225130285,-0.004197346348538338,-0.0014347979924453109
1332.593,-0.002872042278212779,-0.0019763040142473983,-0.0016524930458722928,-0.004134127479874977,-0.001374428518517766
1333.557,-0.002787227307457701,-0.0019318338519596304,-0.001607402205485054,-0.004072192931613466,-0.0013142389033772234
1334.521,-0.0027310594651581243,-0.0019051880285813948,-0.0015706808931261111,-0.004025091424102297,-0.0012722562183220634
1335.485,-0.0027115062913177046,-0.0018995157924924836,-0.001548578968005982,-0.003997922630734152,-0.0012552168643372979
1336.449,-0.0027125753869955685,-0.0018992687612904373,-0.0015348755038485315,-0.003979182776892632,-0.0012513742526268203
1337.414,-0.002696855738193364,-0.001870915217310087,-0.0015051833096981515,-0.003941159866544737,-0.001229987677946373
1338.378,-0.0026166661798601464,-0.0017751774312271592,-0.0014251574877582791,-0.003845394295495222,-0.001150131868337047
1339.342,-0.0024379532768598706,-0.0015862124838414385,-0.0012631968382443102,-0.0036594216794917007,-0.000978801527694489
1340.307,-0.00215941734083371,-0.0013085371275513007,-0.0010116496575239802,-0.00337590119606505,-0.0007119762538919923
1341.271,-0.0018166665102939267,-0.0009782870845913396,-0.0006938215029855086,-0.0030190474831629914,-0.0003798592924305052
1342.235,-0.0014623534165981009,-0.0006432756856246395,-0.0003533454525926622,-0.002635473413795427,-3.3454427615102075e-05
1343.199,-0.0011414952915622572,-0.00033913895785608666,-3.218979799297786e-05,-0.002272062556694039,0.0002807620963029213
